Nimi,Lyhenne,Arvo ($),Vaihtomäärä/päivä ($)
Bitcoin,BTC,16615,6.71 B
Ethereum,ETH,1200,2.66 B
XRP,XRP,0.328,417 M
Solana,SOL,9.952,293 M
Dogecoin,DOGE,0.0698,187 M
Litecoin,LTC,70.29,195 M
Cardano,ADA,0.2495,99 M
Binance Coin,BNB,243,200 M
Polygon,MATIC,0.7558,110 M
Cosmos,ATOM,9.644,73 M
Chainlink,LINK,5.614,77 M
ApeCoin,APE,3.849,53 M
OKB,OKB,29.76,26 M
Terra Classic,LUNC,0.0001506,49 M
Polkadot,DOT,4.442,56 M
Monero,XMR,148.04,57 M
Shiba Inu,SHIB,0.00000808,99 M
Avalanche,AVAX,10.84,50 M
Axie Infinity Shards,AXS,6.261,42 M
Lido DAO,LDO,1.082,31 M
Filecoin,FIL,3.082,45 M
TRON,TRX,0.05466,55 M
Algorand,ALGO,0.1779,26 M
USD Coin,USDC,1, 75 M
Uniswap Protocol Tok,UNI,5.272,29 M
The Sandbox,SAND,0.3909, 38 M
JasmyCoin,JASMY,0.00328,13 M
Aptos,APT,3.481, 46 M
STEPN,GMT,0.2400, 19 M
Render Token,RNDR,0.4076, 18 M
Mask Network,MASK,2.083, 35 M
Bitcoin Cash,BCH,96.59, 48 M
EOS,EOS,0.8801, 22 M
NEO,NEO,6.385, 12 M
dydX,DYDX,1.149, 19 M
Chiliz,CHZ,0.100, 112 M
Sushi,SUSHI,0.9346, 24 M
Ethereum Classic,ETC,15.69, 220 M
Near,NEAR,1.272, 100 M
Stellar,XLM,0.0722, 19 M
Hashflow,HFT,0.302, 9 M
Optimism,OP,0.9205, 37 M
Hedera Hashgraph,HBAR,0.0379, 13 M
Aave,AAVE,52.46, 27 M
The Open Network,TONCOIN,2.250, 9 M
Flow,FLOW,0.650, 8 M
Waves,WAVES,1.298, 17  M
Trust Wallet Token,TWT,1.443, 7 M
